Formula,mf,Group,Transformation
C6H5N3,119.048347,Other,random
C5H5N5O_1,119.05958,Other,random
C7H4O2,120.02113,Other,random
C6H4N2O1,120.032363,Other,random
C3H8O1N2S1,120.035735,Other,random
C4H8O4,120.0423337,Other,random
C8H8O1,120.057515,Other,random
C6H3N1O2,121.016379,Other,random
C3H7N1O2S1,121.019751,Other,random
C8H11N1,121.089149,Other,random
C2H2O4S1,121.967382,Other,random
C7H6O2,122.03678,Other,random
C6H8N3,122.071822,Other,random
C8H10O1,122.073165,Other,random
C5H1N1O3,122.995644,Other,random
C2H6N1O3P1,123.008532,Other,random
C6H7N2O1,123.055838,Other,random
C8H13N1,123.104799,Other,random
H1C1O5P1,123.956163,Other,random
C2H4O2S2,123.965274,Other,random
C2H5O4P1,123.992548,Other,random
C6H4O3,124.0161719,Other,random
C6H6N1O2,124.039854,Other,random
C2H3N_1O3S2,124.94929,Other,random
C4H3N3O2,125.022527,Other,random
thymine_(_H)_C5H5N2O2,125.035103,Other,random
C7H7Cl1,126.0237,Other,random
C6H6O3,126.031695,Other,random
C6H8N1S1,126.037746,Other,random
C5H6N2O2,126.042928,Other,random
C6H10N2O1,126.079313,Other,random
C5H10N4,126.090546,Other,random
C8H14O1,126.104465,Other,random
C5H5O3N1,127.026944,Other,random
C6H9O2N1,127.063329,Other,random
C7H17N3O_1,127.147332,Other,random
C5H4O4,128.01096,Other,random
C6H8O3,128.047345,Other,random
Glutamine_C5H8N2O2,128.058578,Other,random
Lysine_C6H12N2O,128.094963,Other,random
Glutamic_Acid_C5H7NO3,129.042594,Other,random
C6H11N1O2,129.078979,Other,random
C7H19N3O_1,129.162982,Other,random
C2H_6O7,129.917455,Other,random
C5H3Cl1O2,129.9822,Other,random
C5H6O4,130.02661,Other,random
C9H6O1,130.041865,Other,random
C6H10O3,130.062995,Other,random
C10H10,130.07825,Other,random
C6H14O1N2,130.110613,Other,random
C7H16N1O1,130.123189,Other,random
C8H5O1N1,131.037114,Other,random
Methionine_C5H9NOS,131.040486,Other,random
C5H9N1O3,131.058244,Other,random
C6H5O_1N5,131.05958,Other,random
C4H4O5,132.005875,Other,random
C8H4O2,132.02113,Other,random
pentose_C5H8O4,132.04226,Other,random
C9H8O1,132.057515,Other,random
C8H8N2,132.068748,Other,random
C10H12,132.0939,Other,random
C7H3N1O2,133.016379,Other,random
C4H7N1O2S1,133.019751,Other,random
C5H3N5,133.038845,Other,random
C5H9O4,133.050085,Other,random
C8H7N1O1,133.052764,Other,random
H7O6P1,133.998028,Other,random
C5H2O1N4,134.022861,Other,random
C8H6O2,134.03678,Other,random
adenine_(_H)_C5H4N5,134.04667,Other,random
C4H10O1N2S1,134.051385,Other,random
C5H10O4,134.05791,Other,random
C8H8N1O1,134.060589,Other,random
C7H5N1O2,135.032029,Other,random
C4H9N1O2S1,135.035401,Other,random
C8H9N1O1,135.068414,Other,random
C2O7,135.964405,Other,random
C4H9O3P1,136.028933,Other,random
C4H8O5,136.037175,Other,random
C5H4O1N4,136.038511,Other,random
C8H8O2,136.05243,Other,random
C9H12O1,136.088815,Other,random
C10H16,136.1252,Other,random
C3H8N1O3P1,137.024182,Other,random
C7H7N1O2,137.047679,Other,random
Histidine_C6H7N3O,137.058912,Other,random
C7H6O3,138.031695,Other,random
C6H6N2O2,138.042928,Other,random
C9H14O1,138.104465,Other,random
C2H4O3S2,139.960189,Other,random
C6H4O4,140.01096,Other,random
C7H8O3,140.0474882,Other,random
C8H14N1O1,140.107539,Other,random
C2H8O4N1P1,141.019097,Other,random
C8H15N1O1,141.115364,Other,random
C8H19N3O_1,141.162982,Other,random
O5P2,141.922101,Other,random
C1H3O6P1,141.966728,Other,random
C2H6O3S2,141.975839,Other,random
C10H6O1,142.041865,Other,random
C7H10O3,142.062995,Other,random
C6H10N2O2,142.074228,Other,random
C11H10,142.07825,Other,random
C10H10N2O_1,142.089483,Other,random
C6H9N1O3,143.058244,Other,random
C10H9N1,143.073499,Other,random
C7H13N1O2,143.094629,Other,random
C3H1N2O3P1,143.972481,Other,random
C6H8O4,144.04226,Other,random
C5H8N2O3,144.053493,Other,random
C10H8O1,144.057515,Other,random
C7H12O1S1,144.060887,Other,random
C7H12O3,144.078645,Other,random
C5H7N1O4,145.037509,Other,random
C6H4Cl2,145.969,Other,random
C9H6O2,146.03678,Other,random
C6H10O4,146.05791,Other,random
C10H10O1,146.073165,Other,random
C7H1N1O3,146.995644,Other,random
C8H5N1O2,147.032029,Other,random
C8H4O3,148.016045,Other,random
C5O5H8,148.037175,Other,random
C9H8O2,148.05243,Other,random
C6H12O4,148.07356,Other,random
C10H12O1,148.088815,Other,random
C6H5O1N4,149.046336,Other,random
C8H7N1O2,149.047679,Other,random
C9H11N1O1,149.084064,Other,random
C5H2N4S1,150.000018,Other,random
C8H6O3,150.031695,Other,random
guanine_(_H)_C5H4N5O,150.041585,Other,random
C5H10O5,150.052825,Other,random
C6H6O1N4,150.054161,Other,random
C9H10O2,150.06808,Other,random
C5H13N1O2P1,150.068392,Other,random
C10H14O1,150.104465,Other,random
C3H6N1O4P1,151.003447,Other,random
C7H5N1O3,151.026944,Other,random
C7H9N3O1,151.074562,Other,random
C3H5O5P1,151.987463,Other,random
C4H9O2P1S1,152.00609,Other,random
C3H8O1N2S2,152.007807,Other,random
C7H4O4,152.01096,Other,random
C8H8O3,152.047345,Other,random
C6H8N4O1,152.069811,Other,random
C10H16O1,152.120115,Other,random
C3H6O5S1,153.993597,Other,random
C3H7O5P1,154.003113,Other,random
C11H6O1,154.041865,Other,random
C10H18O1,154.135765,Other,random
C8H13O2N1,155.094629,Other,random
C7H8O4,156.04226,Other,random
C6H7N1O4,157.037509,Other,random
C10H7N1O1,157.052764,Other,random
C7H11O3N1,157.073894,Other,random
C6H11N3O2,157.085127,Other,random
C8H15N1O2,157.110279,Other,random
O6P2,157.917016,Other,random
C6H6O5,158.021525,Other,random
C10H6O2,158.03678,Other,random
C7H10O4,158.05791,Other,random
C10H10N2,158.084398,Other,random
C6H14O1N4,158.116761,Other,random
H3N1O5P2,158.94865,Other,random
C6H9N1O4,159.053159,Other,random
H2O6P2,159.932666,Other,random
C5H8N2O2S1,160.03065,Other,random
C6H8O5,160.037175,Other,random
C7H12O4,160.07356,Other,random
N3O2C6H14,160.108602,Other,random
C13H20O_1,160.161585,Other,random
H1O7P2N_1,160.916682,Other,random
diphosphate_H3O6P2,160.940491,Other,random
C6H11N1O4,161.068809,Other,random
H4O6P2,161.948316,Other,random
C9H6O3,162.031695,Other,random
C6H10O3S1,162.035067,Other,random
C10H10O2,162.06808,Other,random
C5H10O3N1P1,163.039832,Other,random
C6H11O5,163.06065,Other,random
Tyrosine_C9H9NO2,163.063329,Other,random
C10H13N1O1,163.099714,Other,random
