Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
268.982251367579,0,0,0,2043715.9,0,0,0,0,0,0,0,0,0,0,0,0,3284875.5,0
268.983045766059,0,0,0,13614916,0,0,1470948.5,0,17224624,0,6742653.5,0,0,21862186,0,1420856.6,22936460,5088166
269.030389815794,2595668.5,2611567.3,2696443.3,2275161.3,3072212.3,2327219.8,3517689,0,3630022,3129474.3,3261586.8,2947145,2786725,3606336.8,2406742,3551310.5,3481506,4597692
269.054361354024,0,0,0,0,0,0,0,1265588.9,0,0,0,0,0,0,0,0,0,0
269.065891206307,0,0,0,0,1642724.4,1524419.6,1449736.4,0,0,0,0,0,1579957.4,2361169,0,0,1941426.4,0
269.066707226664,7685988,7092096,6600459.5,10452842,10945765,9790660,12000009,6124474,11256790,9621139,10732195,9871962,11657654,12818257,8130406,10488927,12563379,11545549
269.079865653846,0,0,0,0,0,0,0,0,2522588.3,0,0,0,0,0,0,0,1353400.9,0
269.08208939715,0,0,0,0,0,0,0,1214400.8,0,0,0,1307744.5,0,0,0,0,0,0
269.102345468023,0,2252688.3,2174747.8,2893689.5,3446004.8,2617556,2320152.3,0,2583526.5,2836130.5,1939123.4,2003561.6,2585030.3,2840417.8,2242422,2166895.8,2159555.3,2352093
269.103151159096,10348404,10463120,10213148,18863994,22017270,17781972,15545113,11802570,17716198,15560355,14391988,14680682,16734663,16402274,13647734,17370224,17501124,16034781
269.11618491465,0,1772182.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1389174.1,0,0
