Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
365,253.108556,253.10817592366072,253.10814714592152,4877526.0,nan,437433.3,36.38,-1,0.11369740376862543,0.9976571435378324,0.0,0.5985942861226994,5.0,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,,C13 H18 O5,13,18,5,,,,
366,253.144939,253.1445587998833,253.14453265530582,8505574.0,nan,438443.2,65.27,-1,0.10327925000460629,0.4990332152847088,0.8676488643339467,0.646479474904404,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,
367,254.067403,254.06701966159864,254.06701060873021,2500735.3,nan,472629.9,17.45,-1,0.03563181382514803,0.999769654535393,0.0,0.5998617927212357,6.0,1.1818181818181819,0.5454545454545454,N1 O6,de-protonated,0,,C11 H13 O6 N1,11,13,6,,1,,
368,254.103849,254.10346553760687,254.10339611811452,1322127.4,nan,361658.7,8.06,-1,0.27319387858956473,0.9865488821030446,0.0,0.5919293292618267,5.0,1.4166666666666667,0.4166666666666667,N1 O5,de-protonated,0,,C12 H17 O5 N1,12,17,5,,1,,
370,255.051421,255.0510343139031,255.05102619163094,4873269.0,nan,429935.8,36.33,-1,0.03184567529318068,0.9998160012826353,0.0,0.5998896007695811,6.0,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,,C11 H12 O7,11,12,7,,,,
371,255.087868,255.08748118990795,255.0874117010152,8500293.0,nan,443312.0,65.22,-1,0.2724120812971276,0.49331262075189825,0.8843699161556753,0.6497355389134091,5.0,1.3333333333333333,0.5,O6,de-protonated,0,,C12 H16 O6,12,16,6,,,,
372,255.124224,255.1238370662224,255.1237972103995,3658837.3,nan,398631.4,26.66,-1,0.15622150242708072,0.9955815065661763,0.0,0.5973489039397057,4.0,1.5384615384615385,0.38461538461538464,O5,de-protonated,0,,C13 H20 O5,13,20,5,,,,
373,256.083087,256.0826968041058,256.0826606732082,1761280.9,nan,440314.0,11.55,-1,0.14109076159892792,0.9963944885574603,0.0,0.5978366931344762,5.0,1.3636363636363635,0.5454545454545454,N1 O6,de-protonated,0,,C11 H15 O6 N1,11,15,6,,1,,
374,257.030732,257.03033858015374,257.0302907467246,1963944.5,nan,485434.1,13.16,-1,0.18610035815347328,0.9937355294839099,0.0,0.5962413176903459,6.0,1.0,0.8,O8,de-protonated,0,,C10 H10 O8,10,10,8,,,,
376,257.049391,257.04899751667455,257.04891819137947,3838896.8,nan,453091.2,28.09,-1,0.3085999958056441,0.9828683677842901,0.0,0.5897210206705741,5.0,1.2727272727272727,0.45454545454545453,S1 O5,de-protonated,0,,C11 H14 O5 S1,11,14,5,1,,,
377,257.067077,257.0666834565056,257.0666762561089,6560696.5,nan,407692.4,49.76,-1,0.028009840814605325,0.9998576543507021,0.0,0.5999145926104212,5.0,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,,C11 H14 O7,11,14,7,,,,
