Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
487,271.04653,271.0460236151284,271.04594081120257,8544336.0,nan,384065.9,63.27,-1,0.30549775273855306,0.9832081788979994,0.0,0.5899249073387997,6.0,1.0909090909090908,0.7272727272727273,O8,de-protonated,0,,C11 H12 O8,11,12,8,,,,,,,
488,271.061798,271.0612915333232,271.0611969524875,1604695.5,nan,444029.4,9.89,-1,0.3489279792560124,0.9781507195319487,0.0,0.5868904317191692,10.0,0.8,0.3333333333333333,O5,de-protonated,0,,C15 H12 O5,15,12,5,,,,,,,
492,271.082904,271.08239742023824,271.0823263205869,13709409.0,nan,387212.3,103.01,-1,0.2622806595371413,0.4937977575288357,0.8843699161556753,0.6500266209795715,5.0,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,,C12 H16 O7,12,16,7,,,,,,,
494,271.119346,271.11883922498384,271.1187118299712,10387571.0,nan,393773.3,77.45,-1,0.46988646342005086,0.9606335632951757,0.9454437054325836,0.9545576201501389,4.0,1.5384615384615385,0.46153846153846156,O6,de-protonated,0,,C13 H20 O6,13,20,6,,,,,,,
496,271.211368,271.2108607319344,271.21082210091134,1530781.9,nan,350807.8,9.32,-1,0.1424390913847921,0.9963253747205975,0.9576495987432536,0.98085506432966,2.0,2.0714285714285716,0.21428571428571427,13C1 N1 O3,de-protonated,1,483,C14 H29 O3 N1 13C1,14,29,3,,1,1,,,,
498,272.078132,272.0776200878554,272.07757529277984,2433589.5,nan,382430.3,16.26,-1,0.16464082166521857,0.9950936188142095,0.0,0.5970561712885257,5.0,1.3636363636363635,0.6363636363636364,N1 O7,de-protonated,0,,C11 H15 O7 N1,11,15,7,,1,,,,,
501,272.122707,272.12219484902477,272.12206666504346,2259018.5,nan,421374.6,14.92,-1,0.47105324045988395,0.9605378810723106,0.9454437054325836,0.9545002108164199,4.0,1.6666666666666667,0.5,13C1 O6,de-protonated,1,494,C12 H20 O6 13C1,12,20,6,,,1,,,,
504,273.025746,273.0252290105861,273.0252053662963,1886707.1,nan,377183.2,12.05,-1,0.08660112448392417,0.9986401048473588,0.0,0.5991840629084152,6.0,1.0,0.9,O9,de-protonated,0,,C10 H10 O9,10,10,9,,,,,,,
505,273.041106,273.04058892828795,273.0404615075812,2683898.5,nan,434953.1,18.18,-1,0.4666733495951972,0.9612539744891035,0.0,0.5767523846934621,10.0,0.7142857142857143,0.42857142857142855,O6,de-protonated,0,,C14 H10 O6,14,10,6,,,,,,,
506,273.044411,273.0438939105799,273.0438328109512,1578491.9,nan,418492.9,9.68,-1,0.22377223506123586,0.9909552878235365,0.0,0.5945731726941219,5.0,1.2727272727272727,0.5454545454545454,S1 O6,de-protonated,0,,C11 H14 O6 S1,11,14,6,1,,,,,,
509,273.062211,273.06169381520834,273.06159087568057,7721988.5,nan,391507.6,56.94,-1,0.37698281712991233,0.9745428696581973,0.0,0.5847257217949183,5.0,1.2727272727272727,0.7272727272727273,O8,de-protonated,0,,C11 H14 O8,11,14,8,,,,,,,
