Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
395,250.07254,250.0721393904754,250.0720959891585,1778076.1,nan,447089.5,11.7,-1,0.1735552170649342,0.9945494177360514,0.0,0.5967296506416309,7.0,1.0833333333333333,0.4166666666666667,N1 O5,de-protonated,0,,C12 H13 O5 N1,12,13,5,,1,,,
397,250.145288,250.14488714356088,250.1448670079271,2815420.5,nan,450465.3,19.96,-1,0.08049589030669634,0.998824978084419,0.0,0.5992949868506513,5.0,1.5,0.21428571428571427,N1 O3,de-protonated,0,,C14 H21 O3 N1,14,21,3,,1,,,
399,251.020131,251.01972717424985,251.01972606267492,3247939.5,nan,441013.5,23.4,-1,0.004428237370390499,0.9999964419271079,0.0,0.5999978651562647,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,,
401,251.056555,251.0561510506229,251.05611157205922,6245716.0,nan,419364.1,46.89,-1,0.15724996070153097,0.9955232690781595,0.0,0.5973139614468956,7.0,1.0,0.5,O6,de-protonated,0,,C12 H12 O6,12,12,6,,,,,
402,251.059948,251.0595440391067,251.0594828754292,3310421.5,nan,424140.4,23.71,-1,0.24362225551411748,0.9892884746223315,0.0,0.5935730847733989,2.0,1.7777777777777777,0.6666666666666666,S1 O6,de-protonated,0,,C9 H16 O6 S1,9,16,6,1,,,,
404,251.092897,251.09249292727424,251.0924970814435,6791524.0,nan,426995.2,51.2,-1,-0.016544378304066337,0.9999503357424064,0.0,0.5999702014454439,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,,
405,251.096332,251.09592791561548,251.0958683848135,1986405.8,nan,529498.6,13.25,-1,0.23708395660021042,0.9898528202014542,0.0,0.5939116921208725,1.0,2.0,0.5,S1 O5,de-protonated,0,,C10 H20 O5 S1,10,20,5,1,,,,
407,251.129333,251.12892880360656,251.12888259082783,2854772.5,nan,462772.2,20.11,-1,0.18402016626096615,0.9938743653104765,0.0,0.5963246191862859,5.0,1.4285714285714286,0.2857142857142857,O4,de-protonated,0,,C14 H20 O4,14,20,4,,,,,
408,252.051777,252.05136967273265,252.05136054425222,2347282.3,nan,479809.1,16.1,-1,0.03621674728806509,0.9997620306446231,0.0,0.5998572183867739,7.0,1.0,0.5454545454545454,N1 O6,de-protonated,0,,C11 H11 O6 N1,11,11,6,,1,,,
409,252.088127,252.08771954935685,252.0877460536365,2019874.6,nan,435864.8,13.51,-1,-0.10513910358831548,0.9979962345119716,0.0,0.598797740707183,6.0,1.25,0.4166666666666667,N1 O5,de-protonated,0,,C12 H15 O5 N1,12,15,5,,1,,,
